object_category,pair_ix,split,FirstRoundCardIndex,Round1,Round2,Round3,Round4
baskets,45,test,Card1,"rectangle shaped, handle in middle, no lid, empty","rectangle shaped with handle in middle, no lid",rectangle shaped with handle in middle,rectangular shaped with handle in middle
baskets,45,test,Card2,"Easter basket, pink things, pink wood, twisted handle, green outlining around the handles especially, squarish type bottom",Easter basket,Easter basket,Easter basket
baskets,45,test,Card3,"circular, criss-cross box, handle, one of them goes straight and rest of them criss-cross, round, shaped like bowl, texture is criss-cross, no lid, lightish brown, a little bit black inside","circular with criss-crosses and little black stuff inside, with round handle and no lid","confusing one that's circular, with criss-cross and black stuff inside",confusing one with black stuff inside
baskets,45,test,Card4,"doesn't have a lid, wide, circle, really tiny like the sewing things, widest one, biggest one, no handles, just like a bowl","widest, bowl shaped, no handles and no lid","most circular and widest, with no lid and no handle","wide bowl, biggest, most circular"
baskets,45,test,Card5,"pink ribbon going around it, small, criss-cross things, gets smaller as it goes towards bottom","smallest with pink ribbon going around it, no lid","smallest, pink ribbon going around it",smallest with pink ribbon going around
baskets,45,test,Card6,"light goldish, triangles, greenish background in back, circular on bottom, like a bowl, solid at bottom","no lid, no handle, triangles on bowl, goldish, green in background",green background and triangles and goldish brown,green background with triangles and it's goldish brown
baskets,45,test,Card7,"lid, goldish, two handles on the edge, little things sticking up in middle","lid, goldish brown with two handles and that thing sticking up in middle",goldish brown with two small handles on side and that thing sticking up,two small handles and thing sticking up on lid
baskets,45,test,Card8,"triangle shaped basket, looks almost like heart",heart shaped,heart shaped,heart shaped
baskets,45,test,Card9,"circular, handle in middle",round with lid and handle,"roundish with flat lid and square handle,",circular with square handle and flat
baskets,45,test,Card10,"square-ish, gets smaller as you go down, lid is like a black type circle","gets smaller as you go along, square, flat lid","square, gets smaller as you go along, with flat lid, handle","square, gets smaller as you go down, with handle and flat lid"
baskets,35,test,Card1,"long, handle, light in middle, woven, brownish ,you could see the far inside, you could see the bottom which is not woven just like a piece of wood, long rectangle type of shape, handle in middle","rectangle, long, handle in middle","rectangular, long, handle right through middle","long rectangular, handle in middle"
baskets,35,test,Card2,"reddish color, large round handle, handle's double the size of the basket itself, woven type thing, difference of colors of red and white woven into each other, green back- ground","handle twice the size of basket itself, reddish and white colored, green around handle","you can't see through it, handle's three times larger, green around handle",green handle
baskets,35,test,Card3,"basket bigger than handle, but not by much, handle is circular, interwoven, brownish color, you can see large spaces between each piece of wood, you could see white background through it, bottom is darker, round","woven, holes in middle, you could see white behind it, gets darker on bottom , reddish color, no top, big handle clogging the middle","woven, handle, you could see on top, gets darker on bottom","woven, with handle, gets darker on bottom, reddish, without green handle"
baskets,35,test,Card4,"without handle, large, brown color, darker brown, woven, very simple, big uneven cup type thing, piece of wood on top, things are woven off of that going downwards",big cup,large cup,big cup
baskets,35,test,Card5,"without handle, interwoven, spaces in between, slightly smaller, red ribbon going through top","woven, red ribbon through it","red ribbon through top, woven, you could see through it","woven, red ribbon through it, without handle"
baskets,35,test,Card6,"without handle, green line through it, golden type thing",green line in middle,"green in middle, line, golden",green line
baskets,35,test,Card7,"top, lid, two small handles but doesn't have handle that goes over top, lid with little thing sticking out of it, left handle has some green inside of it","golden, with handle and thing on top , two little handles, left one has greenish color inside","lid, green in left handle, little extra thing on top","lid, with thing on top of lid, left handle a little green on inside"
baskets,35,test,Card8,woman's underwear,woman's underwear,women's underwear,women's underwear
baskets,35,test,Card9,"flat top, round handle, round basket, very simple, handle is more rectangle shape, goes all the way up to top, goes over whole thing, just plain round","smaller of those two baskets with lid and handle, flat top cover, round, smaller","""same one but smaller one""","""same basket, it's just smaller"""
baskets,35,test,Card10,"round handle, little bit taller, little bigger handle, flat top, not as straight, crooked a little bit, shaped down to be more square on bottom, and rounds off as it goes higher","big, round on top and it squares off on bottom, flat top, you could see the top is a little bit cracked, it doesn't quite fit right","big, flat lid, round top, square on bottom, rounds off","big, flat lid, square on bottom, rounds off"
baskets,42,train,Card1,"long, longest","longest, with handle","long, horizontally","long body, horizontal"
baskets,42,train,Card2,"looks like you could carry fruit in it or some'n, handle, small",red ribbon with handle,"big handle, short","big handle, little"
baskets,42,train,Card3,"spaces in between straw, handle","spaces, with handle","spaces, with handle","spaces, handle"
baskets,42,train,Card4,"doesn't have handle, big","open, with no handle","open, big, no handle, no lid","big bowl with no lid, no handle"
baskets,42,train,Card5,"spaces, doesn't have handle","spaces, with no handle, red ribbon","spaces, red ribbon, no handle","spaces, no handle, red ribbon"
baskets,42,train,Card6,"tan, green around it","tan, green around it, within it",green ribbon,"green ribbon, no lid"
baskets,42,train,Card7,"look like a pot, tan, little",look like a pot,look like a pot,pot
baskets,42,train,Card8,triangle looking with lil handle,triangular looking,triangle,triangle
baskets,42,train,Card9,"handle look square, short","handle, tan, lid over it, short",shorter with handle,shorter body
baskets,42,train,Card10,little taller,"tan, handle, body tall","long body with handle, lid over it, long vertically","handle, lid, long body vertically, really thin"
baskets,12,train,Card1,both sides,really wide,wider,wide
baskets,12,train,Card2,very small,very narrow,"really short, small","""the one right next to it that you picked up"""
baskets,12,train,Card3,handle going across,"""you're actually looking right at it""","small, handle","smaller, handle up top"
baskets,12,train,Card4,"very deep, hollow",really deep,deep,deep
baskets,12,train,Card5,really small,really tiny,"small, really, little wicker","small, wicker"
baskets,12,train,Card6,"really yellow, some green","yellow, little bit green","yellow, little bit green","yellow, little bit green"
baskets,12,train,Card7,"top, wider, little handle","lid, wide","top, wide","short, handle on top, whole top"
baskets,12,train,Card8,"pointy, bottom",pointy,pointy,pointy
baskets,12,train,Card9,handle,lid on top,"handle, little bit shorter","shorter, handle, lid on top"
baskets,12,train,Card10,"longer, handle","taller, handle","tall, handle","taller, handle"
baskets,29,train,Card1,rectangular,really really long bottom,top row to the left,bottom row to the right
baskets,29,train,Card2,really tiny,bottom right,"second to the right, middle row",the one you just picked up
baskets,29,train,Card3,"really really round, big, weaved, handle, rounder bottom",bottom left,"middle row, second to the left","to the right, middle row"
baskets,29,train,Card4,doesn't have those handles on the sides,bottom row,on your right hand,oval
baskets,29,train,Card5,"little pink ribbon around it, without handle",red ribbon around it,around it,red ribbon
baskets,29,train,Card6,some green,green ribbon,green ribbon,green ribbon
baskets,29,train,Card7,has a cover on it,cover,oval with a cover on it,oval with the cover on it
baskets,29,train,Card8,triangular,[Missing Data],triangle,triangle
baskets,29,train,Card9,"middle row, right",top right,cover,looks like that one but it's shorter
baskets,29,train,Card10,top right,"bottom right, second one",really long bottom with the handle,cover
baskets,38,train,Card1,"shaped like rectangle, rectangle laying down",rectangle,"big rectangle, with one handle","really big rectangle with handle, picnic basket"
baskets,38,train,Card2,"handle really tall, small",little red,"tall handle, small",real tall handle
baskets,38,train,Card3,"really fat and big, handle's short, tall, brown in between (dark and light), round","short, handle, brown","handle, don't have any lid, dark brown, in between (dark and light), small,","round, short, handle"
baskets,38,train,Card4,"big and round, no handles, dark tones","big, round, doesn't have handle","big, without any handles, without lid, dark brown","doesn't have handle, doesn't have lid, dark brown, really big, round"
baskets,38,train,Card5,"doesn't have any handles, smaller, with red ribbon around","don't have a lid, red string going around","red string going around, no handles","red ribbon going around, no handle"
baskets,38,train,Card6,"really light brown complexion, no lid","really light brown tone, round","really light round, doesn't have lid","similar color to one with knob at top,"
baskets,38,train,Card7,"lid, two handles","lid, little knob at top, two small little handles at side","knob at top, two handles, round",knob at top
baskets,38,train,Card8,"shaped like triangle, diamond",shaped like triangle,triangle,triangle
baskets,38,train,Card9,"oval, handle, circle","short, round, handle, lid","oval, round, lid, handle, small","short, lid, handle, round"
baskets,38,train,Card10,tall,"handle, lid, tall, rectangular base","rectangular base, handle, lid","rectangle base, tall, handle, lid"
baskets,32,train,Card1,"beige, big, biggest",biggest,biggest,biggest
baskets,32,train,Card2,"on second row, fourth",all the way on right corner,one that you just picked up and put down,"same row, but all the way in your left hand corner"
baskets,32,train,Card3,third one is one on top of it,brownish,"one right on top of it, next one","same row that you just got that, on your right hand corner"
baskets,32,train,Card4,"fourth one is one right next to it, on left side",on your left hand corner,"all the way in front of you, on the corner of your left",in front of you
baskets,32,train,Card5,"in third row, towards your left, all the way upper corner","smallest, little bowl is in middle",in middle,on top of the one you just picked up
baskets,32,train,Card6,"all the way on your right, bottom","bowl, beige color","one on left corner of that one that you just picked up, left upper corner",on right hand side of the one you just picked up
baskets,32,train,Card7,with cover on it,has cover on it,has cover on it,Does that have cover on it?
baskets,32,train,Card8,triangle,triangle,triangle,triangle
baskets,32,train,Card9,has cover on it,all the way on left in front of you,has cover,the one right next to it
baskets,32,train,Card10,"all the way at the end, on your right hand",has cover on it,has cover on it,"third one, upper third row"
baskets,13,train,Card1,"very wide, looks like you could actually fit a baby, you can pick it up, handle","very wide, baby",baby,baby
baskets,13,train,Card2,"really tiny, handle, very big, much bigger than the actual basket itself, wide holes","tiny, long handle","tiny, big long handle","tiny, little, big handle"
baskets,13,train,Card3,"handle, very wide holes","handle, round, open, not close knit","open, not tightly knit, one handle, can see right through","can see through, handle, round"
baskets,13,train,Card4,"doesn't have handle, wide, green, bowl","really wide, deep, no handle","wide, deep, big, no handles","big, no handle, wide"
baskets,13,train,Card5,"really tiny, no handle, no lid, ribbon","little, tiny, no handle, red ribbon around","tiny, ribbon","tiny, little, ribbon"
baskets,13,train,Card6,"salad bowl, zig-zag pattern, no lid, no handle","zig-zag design, salad bowl","zig-zag, design","no lid, no handle, zig-zag around, salad bowl"
baskets,13,train,Card7,"lid, no handle, two tiny handles on each side","lid, two tiny handles on each side","lid, two tiny handles on each side","lid, two tiny handles on each side"
baskets,13,train,Card8,"pointed, at the bottom","pointed, pocketbook",point,pointed
baskets,13,train,Card9,"round, handle, towards the bottom, same shape whole way down","round, lid, handle","shorter, round","shorter, lid, handle"
baskets,13,train,Card10,"""looked like the last one""","lid, handle, square-ish","lid, comes down into a point, not little short","handle, lid, not short, taller"
baskets,17,train,Card1,"long, handle, narrow","little long, green colored handle, greenish, yellowish, brownish, narrow, open, longer than the rest of them, looks like you could put baby in",looks like it could hold a baby,looks like it could hold baby
baskets,17,train,Card2,"handle, pretty small","small, handle, some red woven in between","handle, little smaller","handle, small"
baskets,17,train,Card3,"shorter handle, full, lot of spaces in between with the weaving","handle, weaving separated, spaces in between","handle, spacing in between weaving","spacing in between, handle"
baskets,17,train,Card4,"does not have handle, pretty big","brownish, no cover, no handle","no cover, no handle, tightly woven, brown","tightly woven, no cover, no handle, big"
baskets,17,train,Card5,"small, does not have handle, spaces in between weaving","red ribbon going around top, small, no cover, no handle, spaces in between","very small, no handle, no cover, spacing in between weaving","small, no handle, spacing in between"
baskets,17,train,Card6,"very light in color, does not have handle, circular base that's apart from basket, no cover, little stand at bottom, green background thingy","light in color, green background",green background,green background
baskets,17,train,Card7,"cover, two handles at edge","cover, two little handles on edge","two little handles on edge, little knob in between, cover","cover, two little handles on edge"
baskets,17,train,Card8,v-shaped,v-shaped,v-shaped,v-shaped
baskets,17,train,Card9,"handle, cover","circular, cover, handle","cover, handle, more circular","cover, handle, more circular"
baskets,17,train,Card10,"handle, cover, little bit longer than previous","cover, handle, more squarish","cover, handle, squarish shaped","cover, handle, squarish shaped"
baskets,44,train,Card1,long with handle,real long with no cover and handle going up,real long,long
baskets,44,train,Card2,"no cover, rectangular",big round handle on top,"top row, all the way to right",top right
baskets,44,train,Card3,"round, same wicker things","darker color than that, round, handle going up","top row, third one over",handle going above it
baskets,44,train,Card4,"no handle on top, roundish like bowl",right in dead center,"round with no cover, no handle",bigger
baskets,44,train,Card5,"round, no cover, no handle comin' up","round, with no handle on it and completely open",round with no cover and no handle,"round, no cover, no handle"
