FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"shaped like rectangle, rectangle laying down",rectangle,"big rectangle, with one handle","really big rectangle with handle, picnic basket"
Card2,"handle really tall, small",little red,"tall handle, small",real tall handle
Card3,"really fat and big, handle's short, tall, brown in between (dark and light), round","short, handle, brown","handle, don't have any lid, dark brown, in between (dark and light), small,","round, short, handle"
Card4,"big and round, no handles, dark tones","big, round, doesn't have handle","big, without any handles, without lid, dark brown","doesn't have handle, doesn't have lid, dark brown, really big, round"
Card5,"doesn't have any handles, smaller, with red ribbon around","don't have a lid, red string going around","red string going around, no handles","red ribbon going around, no handle"
Card6,"really light brown complexion, no lid","really light brown tone, round","really light round, doesn't have lid","similar color to one with knob at top,"
Card7,"lid, two handles","lid, little knob at top, two small little handles at side","knob at top, two handles, round",knob at top
Card8,"shaped like triangle, diamond",shaped like triangle,triangle,triangle
Card9,"oval, handle, circle","short, round, handle, lid","oval, round, lid, handle, small","short, lid, handle, round"
Card10,tall,"handle, lid, tall, rectangular base","rectangular base, handle, lid","rectangle base, tall, handle, lid"
