FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"yellow, big black spot on center, long ears, wide snout, Labrador, face looks orange and yellow, black spot in middle on nose, eyebrow black, his eyes are dark, tail is yellow on top, black towards end, tail pointed down",largest spot,huge spot on torso,"big, yellow, black spot on belly"
Card2,"curly hair, short ears, terrier, yellow, probably white, traces of white or light color in center","short haired, really curly hair, all white, black spot on his stomach","white, tall, poodle-ish, but not so fro-ey","poodle, with his hair cut off, short hair, curly, white"
Card3,"short-haired, ears are darker color than his body, tail's long foir the size of him, wearing collar, sitting","beagle face, all yellow, wearing collar, thicker collar, compared to the other dogs, yellow body, black ears, retriever face, skinny, medium sized, sitting, looking towards side, body facing right, he's turning towards left","body is facing right, face is facing left, looking towards something","Labrador, short hair, thick brown chain around neck"
Card4,"all black, short, very short legs, hair is short, not as curly as the other dog that's on the list, not a poodle, dachshund, long torso, long snout","really short, little, black thing, short hair","very short haired, looks like curly hair, all black, ""very short feet like a basset hound almost, but he's not"", short, longer snout, long body","really short, basset hounds, black"
Card5,"black poodle, collar, big round charm",black poodle with little charm,"poodle with charm, looking to left, black","poodle, black, with little charm around his neck"
Card6,"very short hair, all black except for his snout, which is part light brown, mean, very shiny coat","all black, except for a little stripe of yellow on his cheek, yellow paws, shiny coat, short fur","very skinny, very shiny coat, all black except for yellow stripe on his face","black, really shiny coat, stripe of gold on face"
Card7,"long haired, pretty, darker around his torso, lighter around his legs, ears are the lightest part, tan colored, hair almost touching ground, on grass, brown up on top, pointing at something, nose, reaching up","really long haired, retriever face, pointing with his nose","long haired, pointing to sky with his nose","really long hair, almost touching ground, maybe golden retriever, brown, face lighter than his body, pointing to sky, his nose, really long ears"
Card8,"bulldog, pointy ears, yellow body, black snout that's short compared to the other dogs, big eyes, short tail, chain collar","bulldog, all yellow body, black snout, pointy ears, collar","very short hair, all yellow body, black snout, short snout, really pointy ears, short tail, male dog, little chain collar, ""he's skinnier than the other dogs that are all yellow"", almost running","skinny, looks like he's running, short chain collar, short, stumpy tail, black face"
Card9,"husky, black and white, sticking tongue out","husky, black and white, really different looking than the other dogs","husky, black and white, tongue hanging out",black and white husky
Card10,"hair drapes all the way from his body to ground, very small, short tail, pointy ears, black","terrier, all black, longest haired dog, short little thing, little stumpy tail, hair reaches ground, very hairy,""like a big mop""",short little stumpy dog with moppy hair,"""really short, stumpy, little, long haired black dog that we've seen before"", pointy tail, moppy"
