extractor,gpt_model,experiment,session_prefix,prompt_strategy,director_model,matcher_model,round,n_rows,n_sessions,accuracy_mean,accuracy_sd,turns_mean,turns_sd,words_mean,words_sd,re_words_mean,re_words_sd,mean_re_length_mean,mean_re_length_sd,relative_lexical_overlap_mean,relative_lexical_overlap_sd,jaccard_lexical_overlap_mean,jaccard_lexical_overlap_sd,extracted_objects_mean,extracted_objects_sd
deterministic,,ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,1,1,1,100.0,0.0,26.0,0.0,620.0,0.0,268.0,0.0,22.333333333333332,0.0,1.0,0.0,0.0,0.0,12.0,0.0
deterministic,,ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,2,1,1,100.0,0.0,26.0,0.0,595.0,0.0,260.0,0.0,21.666666666666668,0.0,0.9230017071664668,0.0,0.8387917134372134,0.0,12.0,0.0
deterministic,,ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,3,1,1,100.0,0.0,26.0,0.0,604.0,0.0,257.0,0.0,21.416666666666668,0.0,0.9694235588972431,0.0,0.935395695009638,0.0,12.0,0.0
deterministic,,ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,4,1,1,100.0,0.0,28.0,0.0,653.0,0.0,278.0,0.0,23.166666666666668,0.0,0.9271635115456626,0.0,0.90344751866491,0.0,12.0,0.0
deterministic,,ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,5,1,1,100.0,0.0,26.0,0.0,603.0,0.0,255.0,0.0,21.25,0.0,0.9843856801093644,0.0,0.9185748792270533,0.0,12.0,0.0
deterministic,,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,1,1,1,100.0,0.0,36.0,0.0,1406.0,0.0,684.0,0.0,57.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0
deterministic,,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,2,1,1,100.0,0.0,26.0,0.0,973.0,0.0,462.0,0.0,38.5,0.0,0.7871354477299884,0.0,0.4587492949940688,0.0,12.0,0.0
deterministic,,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,3,1,1,100.0,0.0,26.0,0.0,1035.0,0.0,536.0,0.0,44.666666666666664,0.0,0.6992044509025822,0.0,0.5782663623322567,0.0,12.0,0.0
deterministic,,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,4,1,1,100.0,0.0,28.0,0.0,1161.0,0.0,578.0,0.0,48.166666666666664,0.0,0.7622486520312036,0.0,0.6416037531980797,0.0,12.0,0.0
deterministic,,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,5,1,1,100.0,0.0,32.0,0.0,1340.0,0.0,642.0,0.0,53.5,0.0,0.6756303419404269,0.0,0.522085138639656,0.0,12.0,0.0
