words,turns,utterances,words_per_round,words_per_turn,words_per_utterance,utterances_per_turn,utterances_per_round,turns_per_round,round_duration_seconds,avg_turn_duration_seconds,avg_utterance_duration_seconds,round_duration,avg_turn_duration,avg_utterance_duration,pair_id,round,accuracy
374,32,33,374,11.6875,11.333333333333334,1.03125,33,32,1123,0.5625,35.09375,00:18:43,00:00:00,00:00:35,3kk7u0fy_08dnx2dx_ljtwijvs,1,83.33333333
352,31,34,352,11.35483870967742,10.352941176470589,1.096774193548387,34,31,1067,4.258064516129032,32.333333333333336,00:17:47,00:00:04,00:00:32,3kk7u0fy_08dnx2dx_ljtwijvs,2,91.66666667
268,26,26,268,10.307692307692308,10.307692307692308,1.0,26,26,633,0.0,25.32,00:10:33,00:00:00,00:00:25,3kk7u0fy_08dnx2dx_ljtwijvs,3,91.66666667
299,27,27,299,11.074074074074074,11.074074074074074,1.0,27,27,807,0.0,31.03846153846154,00:13:27,00:00:00,00:00:31,3kk7u0fy_08dnx2dx_ljtwijvs,4,83.33333333
299,19,38,299,15.736842105263158,7.868421052631579,2.0,38,19,930,23.789473684210527,25.135135135135137,00:15:30,00:00:23,00:00:25,3kk7u0fy_2ifxj59u_qhyb02an,1,91.66666667
216,14,30,216,15.428571428571429,7.2,2.142857142857143,30,14,606,23.785714285714285,20.896551724137932,00:10:06,00:00:23,00:00:20,3kk7u0fy_2ifxj59u_qhyb02an,2,100.0
117,6,19,117,19.5,6.157894736842105,3.1666666666666665,19,6,201,28.0,11.166666666666666,00:03:21,00:00:28,00:00:11,3kk7u0fy_2ifxj59u_qhyb02an,3,100.0
127,5,18,127,25.4,7.055555555555555,3.6,18,5,222,35.8,13.058823529411764,00:03:42,00:00:35,00:00:13,3kk7u0fy_2ifxj59u_qhyb02an,4,100.0
341,47,53,341,7.25531914893617,6.433962264150943,1.127659574468085,53,47,763,2.851063829787234,14.673076923076923,00:12:43,00:00:02,00:00:14,3kk7u0fy_2ivt4mpj_g7urxzlh,1,75.0
350,47,56,350,7.446808510638298,6.25,1.1914893617021276,56,47,824,1.3617021276595744,14.981818181818182,00:13:44,00:00:01,00:00:14,3kk7u0fy_2ivt4mpj_g7urxzlh,2,83.33333333
