extractor,gpt_model,experiment,prompt_strategy,director_model,matcher_model,round,n_rows,n_sessions,accuracy_mean,accuracy_sd,turns_mean,turns_sd,words_mean,words_sd,re_words_mean,re_words_sd,mean_re_length_mean,mean_re_length_sd,relative_lexical_overlap_mean,relative_lexical_overlap_sd,jaccard_lexical_overlap_mean,jaccard_lexical_overlap_sd,extracted_objects_mean,extracted_objects_sd
deterministic,,ACL,ACL_prompt,gpt-5.2,gpt-5.2,1,6,6,94.44444444444444,13.608276348795437,34.0,7.797435475847172,1361.6666666666667,251.93147216389355,683.0,124.56965922727733,56.91666666666667,10.380804935606443,1.0,0.0,0.0,0.0,11.833333333333334,0.408248290463863
deterministic,,ACL,ACL_prompt,gpt-5.2,gpt-5.2,2,6,6,88.88888888888889,18.00205749557739,34.0,4.0,1389.1666666666667,139.94772833692824,717.3333333333334,65.07738982677982,59.77777777777778,5.423115818898321,0.3144080216313211,0.03789290615450279,0.18291981628766846,0.014084852652476778,12.0,0.0
deterministic,,ACL,ACL_prompt,gpt-5.2,gpt-5.2,3,6,6,80.55555555555554,24.532669073132908,34.333333333333336,6.121002096606949,1350.0,289.8779053325727,697.1666666666666,127.57024208908074,58.09722222222222,10.630853507423394,0.34539788570871477,0.02647743412277597,0.19795844788281883,0.008724928199622811,11.833333333333334,0.408248290463863
deterministic,,ACL,ACL_prompt,gpt-5.2,gpt-5.2,4,6,6,66.66666666666667,36.132472314464664,33.0,4.857983120596447,1419.5,256.3519065659548,709.8333333333334,98.48942413613081,59.15277777777778,8.207452011344234,0.3065046533806891,0.020407587158346414,0.1743924198084119,0.0166707510246269,12.0,0.0
deterministic,,ACL,ACL_prompt,gpt-5.2,gpt-5.2,5,6,6,94.44444444444444,13.608276348795437,33.666666666666664,8.334666560017062,1428.3333333333333,307.1043253792865,731.1666666666666,122.01215786415166,60.93055555555556,10.167679822012639,0.34649935312944047,0.05206657270670252,0.2110393452646816,0.024792312274714547,11.833333333333334,0.408248290463863
deterministic,,ACL,ACL_prompt,gpt-5.5,gpt-5.5,1,5,5,100.0,0.0,25.2,1.7888543819998317,756.4,39.61439132436595,323.0,15.540270267920054,26.916666666666668,1.2950225223266711,1.0,0.0,0.0,0.0,12.0,0.0
deterministic,,ACL,ACL_prompt,gpt-5.5,gpt-5.5,2,5,5,100.0,0.0,25.6,0.8944271909999159,833.2,39.88984833262719,391.2,33.56635219978483,32.6,2.7971960166487366,0.2980334077898837,0.019620460793768307,0.19489001827175118,0.00636884599887399,12.0,0.0
deterministic,,ACL,ACL_prompt,gpt-5.5,gpt-5.5,3,5,5,100.0,0.0,24.8,1.0954451150103321,747.2,33.36465195382682,323.4,15.883954167649817,26.95,1.3236628473041516,0.36069768296299254,0.017734139225124724,0.19601197573438178,0.018327683638920636,12.0,0.0
deterministic,,ACL,ACL_prompt,gpt-5.5,gpt-5.5,4,5,5,95.0,4.5643546458763895,26.4,3.286335345030997,822.6,76.23844174692974,374.2,47.47315030625206,31.183333333333334,3.9560958588543387,0.28354235569919417,0.028921093478786537,0.17610083806310234,0.012596539937149818,12.0,0.0
deterministic,,ACL,ACL_prompt,gpt-5.5,gpt-5.5,5,5,5,98.33333333333333,3.726779962499654,24.8,1.0954451150103321,818.4,40.09114615473097,381.6,20.06987792688336,31.8,1.6724898272402813,0.3547976711999732,0.02231883367038975,0.2200748780627338,0.014278291532185376,12.0,0.0
