condition,round,n_sessions,accuracy_mean,accuracy_ci95,words_mean,words_ci95,turns_mean,turns_ci95,re_words_mean,re_words_ci95,relative_lexical_overlap_mean,relative_lexical_overlap_ci95
"ACL prompt, GPT-5.2",1,9,89.81481481481482,12.703703703703702,1345.6666666666667,194.64290174573537,34.666666666666664,5.3077050910288275,572.7777777777778,56.66209920590441,,0.0
"ACL prompt, GPT-5.2",2,9,94.44444444444444,5.444444444444442,1214.2222222222222,152.92982173307024,30.666666666666668,4.573333333333333,534.5555555555555,63.495388381196726,0.7419630786050931,0.03742860965074374
"ACL prompt, GPT-5.2",3,9,94.44444444444444,5.4444444444444455,1272.888888888889,113.87107292628237,29.555555555555557,2.7546952061911214,535.5555555555555,28.7320206798213,0.7692544713448556,0.02290949640307283
"ACL prompt, GPT-5.2",4,9,97.22222222222223,3.849803586460091,1205.7777777777778,82.65104219130356,27.333333333333332,1.3066666666666666,517.3333333333334,25.13848046322609,0.785089214824988,0.02412217467594314
"ACL prompt, GPT-5.5",1,9,100.0,0.0,747.4444444444445,25.881219083238097,25.555555555555557,0.5761858410762887,326.55555555555554,11.269342439217368,,0.0
"ACL prompt, GPT-5.5",2,9,100.0,0.0,715.4444444444445,30.26229687822256,25.77777777777778,0.43555555555555553,299.77777777777777,8.986467466744882,0.9137342501387459,0.014227285318950693
"ACL prompt, GPT-5.5",3,9,100.0,0.0,716.5555555555555,31.81959897629676,25.77777777777778,0.43555555555555553,293.8888888888889,7.009603289174426,0.9563122381406617,0.014408350280616856
"ACL prompt, GPT-5.5",4,9,100.0,0.0,712.3333333333334,31.84958119382769,25.555555555555557,0.5761858410762887,293.77777777777777,6.716776490233472,0.9693325273510337,0.01436088324335501
"Cameron prompt, GPT-5.2",1,10,98.33333333333333,3.2666666666666644,619.1,45.628165745878206,30.0,1.3066666666666666,237.8,11.446578994034272,,0.0
"Cameron prompt, GPT-5.2",2,10,96.66666666666667,3.6114358828314344,447.7,26.6957628265028,24.8,0.6401333194473373,161.7,7.5178768870532116,0.8920014354091929,0.017509660042019353
"Cameron prompt, GPT-5.2",3,10,99.16666666666667,1.633333333333335,440.0,29.905258400488695,25.8,0.7036615347989085,151.7,10.330313623291188,0.9269067637168323,0.020014260696806736
"Cameron prompt, GPT-5.2",4,10,98.33333333333333,2.17777777777778,421.9,28.986876693504673,26.0,1.0121396478088716,140.0,11.506830435296534,0.9271516176147604,0.023125660634618343
"Cameron prompt, GPT-5.5",1,10,95.83333333333333,3.652244363249656,204.9,9.420015475335248,25.6,0.5226666666666666,58.8,3.5521151132498194,,0.0
"Cameron prompt, GPT-5.5",2,10,96.66666666666667,3.6114358828314344,174.7,11.676402870747479,25.6,0.5226666666666666,40.3,2.833539129780988,0.9630555555555556,0.02036396902786638
"Cameron prompt, GPT-5.5",3,10,97.5,3.486145418157883,165.4,18.91329474793385,25.8,0.7036615347989085,34.6,4.256204673441142,0.9929166666666667,0.010189259959315923
"Cameron prompt, GPT-5.5",4,10,97.5,3.486145418157883,161.0,14.307850836360977,25.6,0.5226666666666666,33.0,3.1468700499243862,0.9979166666666667,0.00408333333333334
