condition,metric,slope
"ACL prompt, GPT-5.2",accuracy,1.9999999999999982
"ACL prompt, GPT-5.2",words,-39.21999999999998
"ACL prompt, GPT-5.2",turns,-2.3199999999999994
"ACL prompt, GPT-5.2",re_words,-19.619999999999997
"ACL prompt, GPT-5.2",relative_lexical_overlap,0.015689522871206337
"ACL prompt, GPT-5.5",accuracy,0.0
"ACL prompt, GPT-5.5",words,-8.299999999999999
"ACL prompt, GPT-5.5",turns,0.06
"ACL prompt, GPT-5.5",re_words,-9.95
"ACL prompt, GPT-5.5",relative_lexical_overlap,0.02679160420097533
"Cameron prompt, GPT-5.2",accuracy,0.24999999999999914
"Cameron prompt, GPT-5.2",words,-59.92999999999995
"Cameron prompt, GPT-5.2",turns,-1.0999999999999992
"Cameron prompt, GPT-5.2",re_words,-30.340000000000003
"Cameron prompt, GPT-5.2",relative_lexical_overlap,0.017575091102783744
"Cameron prompt, GPT-5.5",accuracy,0.5833333333333339
"Cameron prompt, GPT-5.5",words,-14.099999999999998
"Cameron prompt, GPT-5.5",turns,0.019999999999999997
"Cameron prompt, GPT-5.5",re_words,-8.309999999999993
"Cameron prompt, GPT-5.5",relative_lexical_overlap,0.017430555555555546
