condition,round,n_sessions,accuracy_mean,accuracy_ci95,words_mean,words_ci95,turns_mean,turns_ci95,re_words_mean,re_words_ci95,relative_lexical_overlap_mean,relative_lexical_overlap_ci95
"Implicit Prompt, GPT-5.2",1,10,90.83333333333334,11.536570943560415,1351.7,174.4950597250376,34.8,4.754543277516546,579.7,52.46478202460092,,0.0
"Implicit Prompt, GPT-5.2",2,10,95.0,4.9899157567296895,1190.1,144.72519018394058,30.2,4.191529235652941,519.2,64.27405539821906,0.7545361051355892,0.04156927484414907
"Implicit Prompt, GPT-5.2",3,10,95.0,4.989915756729693,1249.1,112.01473830805578,29.2,2.5605332777893492,524.9,33.11497839011491,0.7679458161348389,0.020650788405309883
"Implicit Prompt, GPT-5.2",4,10,97.5,3.486145418157883,1201.3,74.44448802519453,27.4,1.176,512.4,24.475509537313233,0.7859151508780019,0.02163617513671116
"Implicit Prompt, GPT-5.5",1,10,100.0,0.0,734.7,34.05621812369789,25.6,0.5226666666666666,320.7,15.274732134403461,,0.0
"Implicit Prompt, GPT-5.5",2,10,100.0,0.0,703.4,35.91574842445705,25.8,0.39199999999999996,294.6,12.945895205302206,0.9160082259061394,0.013483222916609706
"Implicit Prompt, GPT-5.5",3,10,100.0,0.0,705.3,36.00933659174766,25.8,0.39199999999999996,290.2,9.569939602735223,0.9537103164191127,0.01385958388115805
"Implicit Prompt, GPT-5.5",4,10,100.0,0.0,706.4,30.769433721723825,25.8,0.7036615347989085,289.0,11.125865759071912,0.96959143430809,0.012854784606347256
"Explicit Prompt, GPT-5.2",1,10,98.33333333333333,3.2666666666666644,619.1,45.628165745878206,30.0,1.3066666666666666,237.8,11.446578994034272,,0.0
"Explicit Prompt, GPT-5.2",2,10,96.66666666666667,3.6114358828314344,447.7,26.6957628265028,24.8,0.6401333194473373,161.7,7.5178768870532116,0.8920014354091929,0.017509660042019353
"Explicit Prompt, GPT-5.2",3,10,99.16666666666667,1.633333333333335,440.0,29.905258400488695,25.8,0.7036615347989085,151.7,10.330313623291188,0.9269067637168323,0.020014260696806736
"Explicit Prompt, GPT-5.2",4,10,98.33333333333333,2.17777777777778,421.9,28.986876693504673,26.0,1.0121396478088716,140.0,11.506830435296534,0.9271516176147604,0.023125660634618343
"Explicit Prompt, GPT-5.5",1,10,95.83333333333333,3.652244363249656,204.9,9.420015475335248,25.6,0.5226666666666666,58.8,3.5521151132498194,,0.0
"Explicit Prompt, GPT-5.5",2,10,96.66666666666667,3.6114358828314344,174.7,11.676402870747479,25.6,0.5226666666666666,40.3,2.833539129780988,0.9630555555555556,0.02036396902786638
"Explicit Prompt, GPT-5.5",3,10,97.5,3.486145418157883,165.4,18.91329474793385,25.8,0.7036615347989085,34.6,4.256204673441142,0.9929166666666667,0.010189259959315923
"Explicit Prompt, GPT-5.5",4,10,97.5,3.486145418157883,161.0,14.307850836360977,25.6,0.5226666666666666,33.0,3.1468700499243862,0.9979166666666667,0.00408333333333334
