object_category,pair_ix,FirstRoundCardIndex,round_num,rouge-1_f1,rouge-2_f1,rouge-L_f1,sbert_score
baskets,45,Card1,1,0.3999999950222222,0.14285713785714302,0.3999999950222222,0.6901325583457947
baskets,45,Card1,2,0.624999995,0.266666661688889,0.624999995,0.7851434946060181
baskets,45,Card1,3,0.8571428522448981,0.3076923029585799,0.8571428522448981,0.9447462558746338
baskets,45,Card1,4,0.9230769181065088,0.499999995138889,0.9230769181065088,0.9813953638076782
baskets,45,Card2,1,0.6666666620839508,0.35999999564800006,0.6666666620839508,0.8784650564193726
baskets,45,Card2,2,0.7999999952000001,0.6666666622222223,0.7999999952000001,0.98078453540802
baskets,45,Card2,3,0.7999999952000001,0.6666666622222223,0.7999999952000001,0.98078453540802
baskets,45,Card2,4,0.7999999952000001,0.6666666622222223,0.7999999952000001,0.98078453540802
baskets,45,Card3,1,0.4905660327376291,0.19999999502222232,0.4528301836810253,0.8075810074806213
baskets,45,Card3,2,0.8148148098765432,0.4827586157431629,0.8148148098765432,0.8502461314201355
baskets,45,Card3,3,0.555555550617284,0.23529411266435996,0.555555550617284,0.8755887746810913
baskets,45,Card3,4,0.7058823483737025,0.533333328888889,0.7058823483737025,0.5765397548675537
baskets,45,Card4,1,0.7499999950125001,0.4255319099502037,0.6999999950125001,0.811336100101471
baskets,45,Card4,2,0.7692307642603551,0.6153846104142012,0.7692307642603551,0.8074982166290283
baskets,45,Card4,3,0.823529406782007,0.7368421002770082,0.823529406782007,0.9550926089286804
baskets,45,Card4,4,0.7142857096938776,0.26666666275555556,0.7142857096938776,0.9438261389732361
baskets,45,Card5,1,0.3870967691987514,0.2580645111758586,0.3870967691987514,0.6984630823135376
baskets,45,Card5,2,0.6666666616666668,0.35294117148788934,0.6666666616666668,0.6626896858215332
baskets,45,Card5,3,0.5882352895501731,0.49999999570312514,0.5882352895501731,0.7911267280578613
baskets,45,Card5,4,0.8571428522448981,0.4615384568047337,0.8571428522448981,0.9374979138374329
baskets,45,Card6,1,0.6451612853277836,0.19999999500000015,0.5806451562955255,0.7996960282325745
baskets,45,Card6,2,0.8181818132231407,0.5217391255198489,0.8181818132231407,0.9588138461112976
baskets,45,Card6,3,0.8333333283333335,0.5454545404958678,0.8333333283333335,0.9923566579818726
baskets,45,Card6,4,0.7142857093877552,0.499999995138889,0.7142857093877552,0.9856207370758057
baskets,45,Card7,1,0.4705882305709343,0.16666666222222234,0.4117647011591695,0.8459316492080688
baskets,45,Card7,2,0.8666666617555556,0.6451612855775234,0.8666666617555556,0.8026220798492432
baskets,45,Card7,3,0.8965517191914388,0.7096774146097816,0.8965517191914388,0.8088100552558899
baskets,45,Card7,4,0.6363636315289257,0.3478260824196598,0.6363636315289257,0.7224987745285034
baskets,45,Card8,1,0.0,0.0,0.0,0.8073136806488037
baskets,45,Card8,2,0.999999995,0.999999995,0.999999995,1.0
baskets,45,Card8,3,0.999999995,0.999999995,0.999999995,1.0
baskets,45,Card8,4,0.999999995,0.999999995,0.999999995,1.0
